"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"1","A2082489","1626 29 Avenue SW Unit#1","Common Area Maintenance, Insurance, Maintenance Grounds, Snow Removal","S","$550,000","$550,000.00","$600,000.00","$300.00","1,252","2","2","2 Storey","5","2","Yes","2006","0","11","10/15/2023","Calgary"
"1","A2080701","108 Ascot Manor SW","Amenities of HOA/Condo, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$589,900","$589,900.00","$600,000.00","$373.49","1,383","3","2","3 Storey","7","1","Yes","2012","0","10","09/24/2023","Calgary"
"1","A2078222","612 Greenbriar Common NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Residential Manager, Snow Removal, Trash","S","$618,000","$618,000.00","$600,000.00","$286.72","1,532","4","3","3 Storey","6","1","Yes","2020","0","39","10/17/2023","Calgary"
"1","A2072505","92 Norford Common NW","Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions","S","$595,000","$595,000.00","$600,000.00","$210.15","1,162","2","2","3 Storey","5","1","Yes","2020","0","8","08/18/2023","Calgary"
"1","A2072377","4612 17 Avenue NW Unit#4","Insurance, Reserve Fund Contributions, See Remarks","S","$599,999","$599,999.00","$600,000.00","$200.00","1,338","3","3","2 Storey","5","1","Yes","2022","1","9","08/26/2023","Calgary"
"1","A2085521","160 Greenbriar Way NW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$599,900","$599,900.00","$599,900.00","$260.74","1,583","4","2","3 Storey","6","1","Yes","2019","0","14","10/18/2023","Calgary"
"1","A2058571","378 Quarry Park Boulevard SE","Amenities of HOA/Condo, Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$579,900","$579,900.00","$599,000.00","$414.46","1,421","4","3","2 Storey","7","1","Yes","2013","1","21","07/13/2023","Calgary"
"1","A2060809","162 Les Jardins Park SE","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$626,400","$597,900.00","$597,900.00","$234.00","1,245","2","2","3 Storey","5","1","Yes","2021","0","156","12/03/2023","Calgary"
"1","A2060116","3710 16 Street SW Unit#2","Common Area Maintenance, Insurance, Reserve Fund Contributions","S","$625,000","$600,000.00","$597,000.00","$300.00","1,594","3","4","3 Storey","6","1","No","2008","1","27","07/18/2023","Calgary"
"1","A2091387","10 West Springs Court SW","","S","$669,000","$599,000.00","$596,000.00","","1,042","3","2","Bungalow, Side by Side","5","1","Yes","2002","1","20","11/23/2023","Calgary"
"1","A2093777","308 32 Avenue NE Unit#3","Common Area Maintenance, Insurance, Snow Removal","S","$615,000","$615,000.00","$595,000.00","$200.00","1,265","3","3","2 Storey","4","1","Yes","2023","1","12","11/28/2023","Calgary"
"1","A2073628","88 Cranbrook Drive SE","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$599,800","$599,800.00","$595,000.00","$416.71","1,331","2","2","Bungalow","5","0","Yes","2013","1","9","09/23/2023","Calgary"
"1","A2056512","279 Royal Elm Road NW","Common Area Maintenance, Insurance, Snow Removal, Trash","S","$599,900","$599,900.00","$593,000.00","$204.00","1,368","3","2","2 Storey","6","1","Yes","2021","0","27","07/06/2023","Calgary"
"1","A2060829","191 Les Jardins Park SE","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$626,400","$592,900.00","$592,900.00","$238.00","1,645","3","2","3 Storey","6","1","Yes","2023","0","167","12/14/2023","Calgary"
"1","A2063221","1632 20 Avenue NW Unit#110","Insurance, Maintenance Grounds, Parking, Reserve Fund Contributions, Trash","S","$599,999","$599,999.00","$592,500.00","$350.00","1,780","3","2","Townhouse","6","1","No","2018","0","69","09/13/2023","Calgary"
"1","A2064208","2235 26 Avenue SW Unit#2","Amenities of HOA/Condo, Common Area Maintenance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$598,000","$598,000.00","$590,000.00","$414.30","1,217","3","3","2 Storey","5","1","Yes","2015","1","36","08/16/2023","Calgary"
